date,avg_daily_return
2016-09-30,0.4596
2016-10-03,-0.0287
2016-10-04,-0.4174
2016-10-05,-0.3345
2016-10-06,-0.2467
2016-10-07,-0.603
2016-10-10,0.3287
2016-10-11,-1.0462
2016-10-12,0.037
2016-10-13,0.0537
2016-10-14,-0.4247
2016-10-17,-0.367
2016-10-18,0.4918
2016-10-19,0.2234
2016-10-20,-0.7043
2016-10-21,0.0253
2016-10-24,0.4729
2016-10-25,-0.2111
2016-10-26,0.1061
2016-10-27,-1.2398
2016-10-28,-0.9098
2016-10-31,-0.8587
2016-11-01,-1.2575
2016-11-02,-0.6861
